"Story","Title","Result","Date","Stability","Duration (s)"
"Good login story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2024-05-13T18:32:40.0517712+03:00[Europe/Athens]","0.0","0.21"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2024-05-13T18:33:01.7947942+03:00[Europe/Athens]","0.0","0.26"
