"Story","Title","Result","Date","Stability","Duration (s)"
"Good login story","Searching by keyword banana should display the corresponding article","SUCCESS","2024-05-13T18:32:27.8649534+03:00[Europe/Athens]","0.0","11.63"
"Good login story","Searching by keyword apple should display the corresponding article","SUCCESS","2024-05-13T18:32:40.3454043+03:00[Europe/Athens]","0.0","3.36"
