"Story","Title","Result","Date","Stability","Duration (s)"
"Search by keyword story DDT","Search wiki by keyword test DDT","FAILURE","2024-04-21T11:34:28.6433539+03:00[Europe/Athens]","0.0","19.75"
"Search by keyword story","Searching by keyword banana should display the corresponding article","SUCCESS","2024-04-21T11:36:56.9576243+03:00[Europe/Athens]","0.0","7.13"
"Search by keyword story","Searching by ambiguious keyword should display the disambiguation page","PENDING","2024-04-21T11:37:04.5579793+03:00[Europe/Athens]","0.0","0.14"
"Search by keyword story","Searching by keyword apple should display the corresponding article","SUCCESS","2024-04-21T11:37:04.7765404+03:00[Europe/Athens]","0.0","4.59"
